Dest,ArrDelay,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,TotalFlights,Year,Month,"(-inf, 0.0]","(0.0, 60.0]","(60.0, 120.0]","(120.0, 180.0]","(180.0, 240.0]","(240.0, 300.0]","(300.0, inf]"
OTH,299.0,2.0,0.0,139.0,0.0,12.0,0.0,199.0,17,2016,1,6.0,6.0,3.0,,,,
RDD,572.0,4.0,0.0,230.0,41.0,73.0,0.0,442.0,61,2016,1,27.0,24.0,5.0,1.0,,,
RKS,-628.0,1.0,0.0,113.0,0.0,28.0,0.0,214.0,57,2016,1,48.0,6.0,1.0,1.0,,,
HRL,-863.0,6.0,1.0,203.0,0.0,65.0,0.0,377.0,245,2016,1,183.0,54.0,1.0,,,,
ISP,-491.0,31.0,0.0,401.0,0.0,87.0,4.0,1318.0,382,2016,1,238.0,105.0,7.0,1.0,,,
TLH,577.0,0.0,1.0,1008.0,148.0,208.0,0.0,503.0,208,2016,1,151.0,47.0,5.0,3.0,,1.0,
GNV,983.0,0.0,1.0,1067.0,0.0,229.0,0.0,478.0,195,2016,1,132.0,53.0,6.0,2.0,1.0,,
MOB,1557.0,2.0,1.0,1468.0,82.0,996.0,0.0,944.0,353,2016,1,248.0,86.0,12.0,1.0,1.0,,2.0
BPT,232.0,3.0,0.0,309.0,0.0,91.0,0.0,167.0,85,2016,1,54.0,25.0,2.0,1.0,,,
FSM,249.0,0.0,0.0,1195.0,0.0,92.0,0.0,87.0,149,2016,1,105.0,40.0,1.0,2.0,,,1.0
LRD,-527.0,1.0,3.0,298.0,0.0,177.0,0.0,104.0,165,2016,1,108.0,51.0,2.0,,,,
MEI,565.0,2.0,1.0,635.0,0.0,160.0,0.0,147.0,83,2016,1,53.0,23.0,1.0,1.0,,2.0,
PIB,-622.0,2.0,0.0,0.0,0.0,0.0,0.0,154.0,52,2016,1,45.0,4.0,,1.0,,,
SAF,-498.0,1.0,0.0,70.0,0.0,45.0,0.0,0.0,59,2016,1,50.0,8.0,,,,,
TXK,114.0,2.0,0.0,451.0,0.0,131.0,0.0,180.0,84,2016,1,58.0,19.0,3.0,1.0,1.0,,
CWA,87.0,3.0,0.0,214.0,0.0,106.0,0.0,66.0,58,2016,1,36.0,17.0,1.0,1.0,,,
ERI,364.0,2.0,2.0,216.0,169.0,153.0,0.0,77.0,58,2016,1,31.0,20.0,3.0,,,,
ROW,6.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,4,2016,1,3.0,1.0,,,,,
ELM,896.0,1.0,2.0,753.0,42.0,531.0,0.0,567.0,180,2016,1,109.0,58.0,6.0,2.0,2.0,,
HOB,-410.0,2.0,0.0,41.0,0.0,95.0,0.0,0.0,49,2016,1,41.0,5.0,1.0,,,,
GTR,576.0,2.0,0.0,521.0,0.0,33.0,0.0,396.0,84,2016,1,49.0,24.0,8.0,1.0,,,
MGM,1533.0,2.0,0.0,1261.0,0.0,295.0,0.0,856.0,192,2016,1,126.0,51.0,8.0,3.0,1.0,,1.0
OAJ,901.0,1.0,0.0,581.0,0.0,223.0,0.0,214.0,90,2016,1,45.0,39.0,2.0,1.0,2.0,,
SCE,551.0,2.0,0.0,84.0,57.0,210.0,0.0,307.0,60,2016,1,26.0,28.0,3.0,1.0,,,
VLD,842.0,0.0,0.0,710.0,0.0,131.0,0.0,305.0,84,2016,1,44.0,34.0,3.0,2.0,1.0,,
BQK,442.0,1.0,0.0,522.0,0.0,87.0,0.0,332.0,86,2016,1,55.0,25.0,3.0,,1.0,1.0,
